"Step","model.ln_type: mlp-pre - fourier/col_energy","model.ln_type: mlp-pre - fourier/col_energy__MIN","model.ln_type: mlp-pre - fourier/col_energy__MAX","model.ln_type: pre - fourier/col_energy","model.ln_type: pre - fourier/col_energy__MIN","model.ln_type: pre - fourier/col_energy__MAX","model.ln_type: attn-pre - fourier/col_energy","model.ln_type: attn-pre - fourier/col_energy__MIN","model.ln_type: attn-pre - fourier/col_energy__MAX","model.ln_type: off - fourier/col_energy","model.ln_type: off - fourier/col_energy__MIN","model.ln_type: off - fourier/col_energy__MAX"
"1","0.008933735080063343","0.00808910746127367","0.010411289520561695","0.008885807543992996","0.008053356781601906","0.010158547200262547","0.008876818791031837","0.007951661944389343","0.010153437033295631","0.00890008769929409","0.008027059957385063","0.010115253739058971"
"200","0.05992397516965866","0.05612180382013321","0.06652125716209412","0.02469024620950222","0.017695369198918343","0.029879534617066383","0.035897822305560115","0.02792523056268692","0.04635931923985481","0.090267413854599","0.0674130991101265","0.12388882786035538"
"400","0.11809084713459014","0.10987794399261475","0.13114772737026215","0.030853010714054108","0.021214129403233528","0.03596244379878044","0.05097202286124229","0.040818654000759125","0.06757917255163193","0.12151066213846207","0.09028780460357666","0.16291199624538422"
"600","0.20792297422885894","0.1600322276353836","0.26714465022087097","0.03569284826517105","0.02417377382516861","0.04170936346054077","0.06500580236315727","0.052517812699079514","0.0891459733247757","0.14686058461666107","0.10967997461557388","0.19614896178245544"
"800","0.2556832253932953","0.21157944202423096","0.3080381155014038","0.051764408499002455","0.038009632378816605","0.06487666070461273","0.07742459923028946","0.057510457932949066","0.1071370542049408","0.16787651777267457","0.12607918679714203","0.22411072254180908"
"1000","0.36746232509613036","0.27722007036209106","0.5234933495521545","0.05559095740318298","0.03962291032075882","0.07114244997501373","0.0876284509897232","0.06437616050243378","0.11758507043123245","0.18632988333702089","0.1413065791130066","0.24909117817878723"
"1200","0.6187024056911469","0.4505062997341156","0.7748381495475769","0.07238283157348632","0.048573076725006104","0.10728950053453445","0.09877934008836746","0.07271841913461685","0.13384534418582916","0.2040073126554489","0.1563587486743927","0.27341389656066895"
"1400","0.6710614442825318","0.515204906463623","0.8010904788970947","0.10033242702484131","0.07966303080320358","0.13708525896072388","0.10985007584095001","0.08050872385501862","0.15440256893634796","0.22306132912635804","0.17242945730686188","0.3000176250934601"
"1600","0.9739308714866638","0.7295612692832947","1.2890223264694214","0.11635198593139648","0.07953039556741714","0.16591113805770874","0.1212096706032753","0.08546911925077438","0.17696040868759155","0.24257663786411285","0.18899360299110413","0.32679641246795654"
"1800","1.3420292615890503","1.156486988067627","1.589277744293213","0.1915203496813774","0.09770292043685913","0.31758272647857666","0.1333149939775467","0.09556850790977478","0.19516007602214813","0.26089859902858736","0.2047721892595291","0.35125088691711426"
"2000","1.2917135953903198","1.119511604309082","1.5277879238128662","0.27994046807289125","0.1772146224975586","0.5318484902381897","0.1473617970943451","0.10126972198486328","0.22806012630462646","0.2782295048236847","0.2198670357465744","0.37388619780540466"
"2200","1.432357907295227","1.2123425006866455","1.6443424224853516","0.5359443306922913","0.25312259793281555","1.384300708770752","0.15652223080396652","0.1078784316778183","0.25260937213897705","0.29498575031757357","0.23436567187309265","0.3955055773258209"
"2400","1.70626380443573","1.555110216140747","1.8495121002197266","0.724998539686203","0.1504403054714203","1.5658317804336548","0.18085589557886123","0.11362219601869583","0.28709715604782104","0.3114481896162033","0.24834893643856049","0.4166460335254669"
"2600","1.684727430343628","1.5287413597106934","1.957114815711975","1.0659076064825057","0.22023241221904755","2.350994825363159","0.18955321609973907","0.11474348604679108","0.3212163746356964","0.32784385681152345","0.261957049369812","0.4377848207950592"
"2800","1.6627929925918579","1.500563144683838","1.8960893154144287","1.5011152625083923","0.3177185654640198","2.510215997695923","0.22803502082824706","0.13508340716362","0.43892109394073486","0.34440756440162656","0.2754225432872772","0.4591836631298065"
"3000","1.8379138469696046","1.7222096920013428","1.9640833139419556","1.7510884523391723","0.5468239784240723","2.7219135761260986","0.24553478062152861","0.13639812171459198","0.4944804310798645","0.3612995266914368","0.28874683380126953","0.48113879561424255"
"3200","1.8547741889953613","1.5763508081436157","1.9915857315063477","1.9261524081230164","0.5207346081733704","2.8463900089263916","0.30645314157009124","0.1404997855424881","0.637019157409668","0.37870516777038576","0.3018956780433655","0.5039986968040466"
"3400","2.018705630302429","1.9050908088684082","2.206312656402588","2.2623273849487306","1.3460075855255127","2.772190570831299","0.3639948099851608","0.141921728849411","0.9101350903511047","0.3968422770500183","0.31481778621673584","0.5282594561576843"
"3600","2.0290122985839845","1.8243801593780518","2.221266984939575","2.5219638347625732","2.255051374435425","2.895332098007202","0.4584684789180756","0.1887962520122528","1.2485556602478027","0.4159906327724457","0.32765069603919983","0.5541930794715881"
"3800","2.151719856262207","1.9150407314300537","2.4487993717193604","2.3833023071289063","2.1915268898010254","2.82144832611084","0.49292695224285127","0.19737519323825836","1.3785384893417358","0.43652313351631167","0.34068822860717773","0.5824077129364014"
"4000","2.2448877573013304","1.939226508140564","2.437110424041748","2.534370851516724","2.2344443798065186","2.988149642944336","0.6124008536338806","0.18313950300216675","1.7169115543365479","0.458837229013443","0.3541881740093231","0.6136150360107422"
"4200","2.1939136505126955","1.9585111141204834","2.448741912841797","2.4540496110916137","1.8150500059127808","3.064539670944214","0.7004944026470185","0.18360254168510437","1.776255488395691","0.4834227442741394","0.3682270348072052","0.6486979722976685"
"4400","2.126044821739197","1.8636471033096313","2.3931262493133545","2.4869101524353026","1.91998291015625","3.1188435554504395","0.7174074590206146","0.1851298213005066","1.7437753677368164","0.5111462533473968","0.38294318318367004","0.6898434162139893"
"4600","2.168932294845581","1.8156635761260986","2.417919397354126","2.479449486732483","1.6346057653427124","3.163551092147827","0.756627905368805","0.2540854513645172","1.5631879568099976","0.5431753993034363","0.3985929787158966","0.740439772605896"
"4800","2.1380724191665648","1.9722164869308472","2.290745973587036","2.506232190132141","1.6154779195785522","3.173612117767334","0.7680902153253555","0.23798902332782745","1.2468876838684082","0.5804668486118316","0.4153466522693634","0.8039482235908508"
"5000","2.0386958837509157","1.8246115446090698","2.228952646255493","2.4284003257751463","1.4714090824127197","3.394887924194336","0.9411348670721054","0.22846262156963348","1.8721200227737427","0.6236172378063202","0.43349388241767883","0.8812657594680786"
"5200","2.0040162563323975","1.655327320098877","2.1905362606048584","2.401564931869507","1.5124633312225342","3.2491514682769775","0.884853407740593","0.23346678912639618","1.3083736896514893","0.6735199987888336","0.4533151090145111","0.9728078246116638"
"5400","1.9638862133026123","1.548811435699463","2.1818435192108154","2.362375283241272","1.6963847875595093","3.0714452266693115","1.0590782105922698","0.24041101336479187","1.7034943103790283","0.7317825794219971","0.4750739336013794","1.0824452638626099"
"5600","1.9522025108337402","1.7896442413330078","2.101771593093872","2.348456072807312","1.763435959815979","3.03625226020813","1.0643609523773194","0.3908268213272095","1.3664718866348267","0.8011979997158051","0.4992511570453644","1.2181237936019897"
"5800","1.9669893503189086","1.7451910972595215","2.1805663108825684","2.36059033870697","1.7479013204574585","2.994844436645508","1.0104664385318756","0.3381916582584381","1.4419195652008057","0.8840551853179932","0.5262839794158936","1.3844670057296753"
"6000","1.9589178562164307","1.6725362539291382","2.102311611175537","2.3483839988708497","1.7096266746520996","2.966310739517212","0.8875641763210297","0.34826263785362244","1.3009830713272095","0.9820614814758301","0.5568986535072327","1.5814117193222046"
"6200","1.9064122676849364","1.570605754852295","2.062612771987915","2.4777591705322264","1.8159635066986084","3.6434731483459473","0.9552622497081756","0.3695155680179596","1.8196768760681152","1.0954066872596742","0.5925494432449341","1.797170877456665"
"6400","1.7706661224365234","1.475805401802063","1.98527193069458","2.442486047744751","1.7761952877044678","3.6253371238708496","0.8880922496318817","0.3918727934360504","1.3184312582015991","1.2222952365875244","0.6352624893188477","2.0134754180908203"
"6600","1.7508891820907593","1.653630256652832","1.8994648456573486","2.3431654453277586","1.8511995077133179","2.9476916790008545","0.8744544267654419","0.5387035012245178","1.123520016670227","1.3646659851074219","0.6875746250152588","2.229794502258301"
"6800","1.7604299068450928","1.6120506525039673","2.0038044452667236","2.379535412788391","1.8798407316207886","3.0152482986450195","0.719656240940094","0.5592400431632996","0.850977897644043","1.5225122451782227","0.7534502744674683","2.444460391998291"
"7000","1.858848547935486","1.5511142015457153","2.1456212997436523","2.2972744703292847","1.734704613685608","3.157273769378662","0.6623297810554505","0.5200399160385132","0.8000292778015137","1.6889621138572692","0.8389618992805481","2.641106367111206"
"7200","1.81506507396698","1.5381284952163696","2.1343867778778076","2.3386056900024412","1.8853917121887207","3.100262403488159","0.6148463606834411","0.43738245964050293","0.8176543116569519","1.8607936382293702","0.9525158405303955","2.8085532188415527"
"7400","1.7334219455718993","1.4036531448364258","2.066628932952881","2.37981276512146","1.6007559299468994","3.3029744625091553","0.537297785282135","0.3533947765827179","0.8886052966117859","2.0366469383239747","1.1010055541992188","2.9469079971313477"
"7600","1.8204581975936889","1.4920908212661743","2.2815935611724854","2.423783564567566","1.8362919092178345","3.2937538623809814","0.8776934027671814","0.29403024911880493","1.205202579498291","2.2125417232513427","1.2846843004226685","3.0591793060302734"
"7800","1.7796488285064698","1.497388243675232","2.225696563720703","2.274062180519104","1.3031014204025269","3.6671109199523926","0.7234533309936524","0.54408860206604","1.0678269863128662","2.3828843355178835","1.4903780221939087","3.1495532989501953"
"8000","1.822307276725769","1.5299321413040161","2.161668539047241","2.2602270364761354","1.242020606994629","3.534813165664673","0.6051414489746094","0.3090250492095947","1.0136833190917969","2.542961573600769","1.7052372694015503","3.252735137939453"
"8200","1.8242658853530884","1.4935804605484009","2.3377270698547363","2.294224977493286","1.4002858400344849","3.4661877155303955","0.5489504039287567","0.3197697103023529","0.9351015090942383","2.6889697551727294","1.9196062088012695","3.4200451374053955"
"8400","1.823342204093933","1.4935678243637085","2.3166916370391846","2.1001916408538817","1.278778314590454","3.0138745307922363","0.47299250960350037","0.2969696819782257","0.8149353265762329","2.817890501022339","2.122892141342163","3.5545883178710938"
"8600","1.7603928565979003","1.2928745746612549","2.297193765640259","2.1231256246566774","1.457473874092102","2.878718137741089","0.4249057799577713","0.23728220164775848","0.9059336185455322","2.928435754776001","2.3067734241485596","3.6617701053619385"
"8800","1.7200876235961915","1.3132843971252441","2.3458809852600098","2.3018770694732664","1.3656343221664429","3.8291804790496826","0.4582438081502914","0.18156518042087555","1.041203498840332","3.021744155883789","2.468714475631714","3.746838331222534"
"9000","1.6778002500534057","1.277043342590332","2.2506496906280518","2.3742141008377073","1.492957592010498","3.8387255668640137","0.5246832728385925","0.333076149225235","0.769429624080658","3.1007907390594482","2.611466646194458","3.8142788410186768"
"9200","1.7238871335983277","1.4264148473739624","2.1712071895599365","2.178697395324707","1.3568663597106934","3.0971875190734863","0.4055018603801727","0.30407851934432983","0.6654617190361023","3.168405294418335","2.736063241958618","3.867640733718872"
"9400","1.8283580780029296","1.4651740789413452","2.5210392475128174","2.291215968132019","1.5690330266952515","3.073470115661621","0.3624477803707123","0.25276288390159607","0.5709556937217712","3.225761604309082","2.841705560684204","3.909984827041626"
"9600","1.8137945175170898","1.4225635528564453","2.4773178100585938","2.3518560886383058","1.437427282333374","3.061624526977539","0.4745313048362732","0.31613487005233765","0.6806434988975525","3.273737001419067","2.9298596382141113","3.9435558319091797"
"9800","1.7904721975326539","1.2706977128982544","2.4530320167541504","2.249384379386902","1.6101619005203247","3.1711931228637695","0.46348289847373964","0.3082943558692932","0.759821891784668","3.313619375228882","3.0032331943511963","3.9702701568603516"
"10000","1.6518250703811646","1.3099422454833984","2.1212406158447266","2.272239899635315","1.5041199922561646","2.892298698425293","0.4513472139835358","0.287539541721344","0.6134068965911865","3.347172498703003","3.065868854522705","3.991750955581665"