"Step","model.output_scaling: 1.5 - ntk/relative_distance","model.output_scaling: 1.5 - ntk/relative_distance__MIN","model.output_scaling: 1.5 - ntk/relative_distance__MAX","model.output_scaling: 1.25 - ntk/relative_distance","model.output_scaling: 1.25 - ntk/relative_distance__MIN","model.output_scaling: 1.25 - ntk/relative_distance__MAX","model.output_scaling: 1 - ntk/relative_distance","model.output_scaling: 1 - ntk/relative_distance__MIN","model.output_scaling: 1 - ntk/relative_distance__MAX","model.output_scaling: 0.75 - ntk/relative_distance","model.output_scaling: 0.75 - ntk/relative_distance__MIN","model.output_scaling: 0.75 - ntk/relative_distance__MAX","model.output_scaling: 0.5 - ntk/relative_distance","model.output_scaling: 0.5 - ntk/relative_distance__MIN","model.output_scaling: 0.5 - ntk/relative_distance__MAX"
"1","0.05479190722107887","0.04596354812383652","0.06291642785072327","0.06977779939770698","0.05872795730829239","0.08098098635673523","0.08756123036146164","0.07319612801074982","0.10241067409515381","0.09320434033870698","0.08045138418674469","0.10738775134086609","0.08011245429515838","0.05301384627819061","0.11539187282323837"
"200","24.501484680175782","18.983793258666992","31.201641082763672","77.0177619934082","63.15993118286133","96.63406372070312","112.6163101196289","92.07876586914062","147.71646118164062","128.71295166015625","108.8512191772461","168.86004638671875","357.9783630371094","275.4759826660156","503.60504150390625"
"400","68.49082565307617","55.1203727722168","85.20856475830078","82.12694549560547","67.56698608398438","105.09195709228516","95.76429901123046","80.63117980957031","125.22318267822266","127.52830505371094","102.4018783569336","183.66549682617188","727.281494140625","489.68206787109375","1102.274658203125"
"600","72.27098159790039","58.604061126708984","91.46673583984375","83.42027282714844","68.94808197021484","109.18569946289062","96.1670135498047","80.6795883178711","127.78575897216797","154.10271606445312","115.07907104492188","241.92611694335938","892.491748046875","585.6632080078125","1396.8970947265625"
"800","76.81877822875977","62.51332473754883","99.176025390625","87.32677917480468","72.30908203125","116.50725555419922","102.3743896484375","84.65669250488281","139.7447509765625","186.2341278076172","136.41651916503906","307.50927734375","888.34453125","620.3368530273438","1428.879150390625"
"1000","82.00377197265625","66.77577209472656","107.74829864501953","92.87587280273438","77.02454376220703","125.78401947021484","112.14901885986328","91.4747085571289","157.10865783691406","216.7673583984375","159.1687469482422","365.3721618652344","738.5841857910157","260.7893981933594","1319.5750732421875"
"1200","88.01823425292969","71.65029907226562","117.34932708740234","100.05260162353515","82.80924224853516","136.70143127441406","124.57097930908203","101.48890686035156","177.45997619628906","245.65119018554688","184.8003692626953","413.612060546875","726.6828002929688","99.5294189453125","1250.339111328125"
"1400","94.9754409790039","77.35893249511719","128.0146484375","108.87058715820312","89.94397735595703","149.27615356445312","139.6237548828125","115.21973419189453","200.59031677246094","275.06435241699216","200.4203338623047","457.33062744140625","567.3731872558594","103.65153503417969","1971.28466796875"
"1600","102.95330963134765","83.90634155273438","139.79615783691406","119.3065170288086","99.01189422607422","163.66192626953125","157.2342544555664","122.5590591430664","226.94552612304688","306.95054321289064","213.1033935546875","502.5971984863281","1077.357891845703","503.3227233886719","2680.739013671875"
"1800","112.01092681884765","90.52708435058594","152.94248962402344","131.35568389892578","108.20148468017578","179.85342407226562","177.16040954589843","128.71153259277344","255.3894805908203","340.5176086425781","220.1240234375","550.6531982421875","1332.5025512695313","776.8773193359375","3250.534912109375"
"2000","122.15978546142578","94.82412719726562","167.37144470214844","145.03009185791015","113.92064666748047","197.77987670898438","199.18062744140624","135.6671142578125","285.1622619628906","376.17567138671876","226.47470092773438","596.5485229492188","1455.7211303710938","722.293212890625","3678.8740234375"
"2200","133.42380981445314","99.3918685913086","182.8854217529297","160.4393783569336","119.86775970458984","217.0742645263672","223.70425109863282","142.4857177734375","316.7709045410156","421.8625793457031","245.78579711914062","643.0176391601562","1551.1212280273437","698.2039184570312","4007.3720703125"
"2400","146.2528289794922","104.42915344238281","199.4561767578125","177.87137756347656","125.66261291503906","238.1107635498047","253.031298828125","150.3142852783203","350.5885009765625","472.21697998046875","278.4798278808594","691.6890869140625","1645.3516723632813","684.9285278320312","4210.2744140625"
"2600","160.95543823242187","109.79341125488281","216.80023193359375","197.444873046875","130.16427612304688","260.8804016113281","288.54445190429686","160.37484741210938","386.69378662109375","515.36083984375","312.2310485839844","746.7959594726562","1764.7006469726562","722.0038452148438","4386.1162109375"
"2800","177.6415771484375","114.78465270996094","234.68569946289062","218.59080505371094","132.32362365722656","285.0862121582031","324.47276916503904","170.78538513183594","425.5493469238281","554.6966186523438","349.3222961425781","808.9305419921875","1918.4649536132813","806.7434692382812","4595.40576171875"
"3000","196.25481414794922","119.05077362060547","252.87109375","239.87835693359375","132.45428466796875","310.44775390625","353.23528442382815","181.23367309570312","466.968994140625","580.7135192871094","385.326904296875","877.5134887695312","2114.7768676757814","925.3009643554688","4909.2880859375"
"3200","214.11423034667968","121.64134216308594","289.92498779296875","257.4596252441406","128.89633178710938","348.2536926269531","423.67848815917966","182.9084930419922","665.9693603515625","879.7495788574219","340.830810546875","1985.40380859375","2349.217431640625","1071.399169921875","5356.73095703125"
"3400","380.61732482910156","183.55162048339844","522.7061157226562","12284.00537109375","799.677978515625","30950.583984375","51944.203515625","25547.029296875","107314.34375","15867.251416015624","606.256103515625","52492.35546875","2611.723779296875","1234.7412109375","5917.5166015625"
"3600","104990.32109375","40142.10546875","220888.75","29603.92109375","26810.3046875","33232.390625","9466.86337890625","5105.4111328125","18307.822265625","3692.21298828125","1862.35791015625","7575.70556640625","2882.9004150390624","1406.2840576171875","6515.67529296875"
"3800","37405.31015625","17108.1328125","76096.2890625","11168.141015625","9324.0048828125","13774.28515625","6407.605078125","4935.70947265625","10188.22265625","3336.76416015625","1776.89599609375","4053.8935546875","3429.594140625","1580.7340087890625","8453.39453125"
"4000","17089.579296875","10533.6865234375","30111.46484375","7967.09296875","6636.123046875","9385.74609375","5982.16689453125","4614.5419921875","8052.88330078125","3922.71455078125","2223.1318359375","5737.3828125","2064.639111328125","567.923095703125","3691.483154296875"
"4200","10999.78349609375","7686.94970703125","16559.78515625","6837.91611328125","5644.45751953125","8122.51123046875","6545.085546875","4819.76171875","8260.0615234375","5030.2435546875","2178.57763671875","7949.9384765625","10797.149951171876","2294.76806640625","42573.3828125"
"4400","8530.55263671875","5095.2109375","11691.41796875","6486.60498046875","5293.2138671875","8107.8017578125","7676.74013671875","5573.72998046875","9585.87890625","6130.931494140625","2079.448974609375","9544.974609375","5100.628002929688","1209.1815185546875","7221.146484375"
"4600","7216.731201171875","3732.680908203125","9227.0458984375","6764.45126953125","5315","8957.392578125","9137.496875","6766.78955078125","11440.5517578125","6876.186596679688","2042.8402099609375","11061.8583984375","2191.5935546875","336.60882568359375","6919.43896484375"
"4800","6482.664990234375","2946.130615234375","8576.0478515625","7520.85126953125","5424.58984375","10316.771484375","10690.6892578125","8047.15234375","13423.1923828125","7376.568041992187","2032.0491943359375","12640.990234375","3800.3578369140623","1055.6790771484375","8324.0615234375"
"5000","6109.12314453125","2494.52392578125","9341.2490234375","8591.73466796875","5762.7724609375","11865.9560546875","12213.8431640625","9105.3876953125","15300.603515625","7825.034912109375","2044.218505859375","14144.810546875","5271.993359375","1297.8623046875","9857.8974609375"
"5200","6005.043505859375","2248.549560546875","10410.552734375","9826.894921875","6300.109375","13244.4755859375","13679.9654296875","10069.958984375","17113.318359375","8366.448583984375","2080.800537109375","15551.35546875","6392.0697265625","1597.42529296875","11744.666015625"
"5400","6164.49560546875","2146.82470703125","11686.42578125","11212.675","7001.4951171875","14588.4140625","15078.6408203125","10943.615234375","18929.9921875","8962.01337890625","2140.7021484375","16894.58203125","7380.362377929688","1961.6776123046875","13950.818359375"
"5600","7993.421337890625","2156.114990234375","13508.4111328125","12700.29072265625","7779.13916015625","15862.2626953125","16491.3650390625","11427.4404296875","20762.654296875","9603.951025390625","2225.906982421875","18176.59765625","8409.628857421874","2359.11767578125","16159.0615234375"
"5800","35840.69057617187","2257.764892578125","150999.9375","14196.67265625","8618.251953125","18319.025390625","17909.5396484375","12012.921875","22353.58203125","10318.401953125","2347.86865234375","19470.61328125","9572.187744140625","2707.714599609375","18348.66015625"
"6000","15990.04384765625","2473.57666015625","49678.75390625","16122.83984375","9560.7265625","20716.79296875","19093.9625","12567.251953125","23259.009765625","11258.24248046875","2549.87890625","21181.623046875","10847.85556640625","2981.537109375","20378.83203125"
"6200","10651.6197265625","3277.86669921875","19762.76171875","37558.6263671875","10647.142578125","123620.953125","19915.460546875","12962.068359375","24919.89453125","15211.804638671874","3659.105224609375","30343.81640625","12245.079345703125","3239.129150390625","22133.6015625"
"6400","18404.48125","8841.81640625","34140.10546875","35565.2796875","15268.234375","81242.9765625","88821.628515625","32421.111328125","138413.9375","20387.3169921875","15172.7197265625","24552.078125","13852.430810546875","3569.828857421875","23911.21484375"
"6600","125285.284375","8746.2890625","234387.53125","64418.951953125","17302.423828125","119374.8125","12573.4162109375","4849.4619140625","18892.76171875","10209.6646484375","3905.64404296875","30675.35546875","15645.467919921875","3993.263916015625","25654.171875"
"6800","44587.55625","7494.865234375","74159.703125","24958.703515625","11477.9306640625","44945.5234375","6257.254443359375","3911.887451171875","7934.75927734375","4669.10078125","2357.417724609375","6964.45654296875","17395.3857421875","4521.6064453125","27763.73828125"
"7000","18799.0595703125","6899.7119140625","26710.48828125","11274.54248046875","6405.69580078125","14343.75","5383.46484375","4787.86474609375","6117.76513671875","4832.724658203125","2123.0927734375","9962.28125","19318.0494140625","5319.4130859375","30916.7890625"
"7200","11293.26611328125","6702.35498046875","14690.4833984375","8593.904296875","4196.21484375","10274.375","5247.85458984375","4174.99267578125","6296.87158203125","5853.568115234375","2429.106201171875","12638.8916015625","16916.6765625","2541.818359375","33497.53125"
"7400","8694.1349609375","6796.26025390625","10473.24609375","7799.270068359375","3331.469482421875","10671.009765625","5495.600390625","4010.1015625","7189.27197265625","7254.42158203125","2913.40869140625","15450.255859375","13799.84091796875","1553.24169921875","30408.31640625"
"7600","7456.83984375","5689.75048828125","8902.1787109375","7494.063232421875","2847.617919921875","11870.7626953125","6033.203466796875","4077.218017578125","8262.4951171875","8769.92431640625","3457.623046875","18418.828125","7321.2646484375","2093.762939453125","12990.81640625"
"7800","6773.56748046875","4813.6572265625","7894.61669921875","7482.59150390625","2624.61181640625","13347.52734375","6794.42626953125","4226.53466796875","9430.4775390625","10231.556884765625","4013.802978515625","21345.1171875","7393.608178710938","1702.8106689453125","13742.8095703125"
"8000","6396.8068359375","4270.8408203125","8434.923828125","7707.782080078125","2613.052001953125","14967.6201171875","7719.5751953125","4430.384765625","10583.0966796875","11599.56611328125","4584.01318359375","24189.44140625","10621.72294921875","2278.42724609375","17085.7265625"
"8200","6223.39130859375","3941.4619140625","9291.5849609375","8101.280859375","2753.2421875","16553.87890625","8782.92275390625","4684.63818359375","12386.6044921875","12910.65234375","5149.08203125","26920.677734375","12524.939208984375","2313.175048828125","22586.40625"
"8400","6206.743505859375","3765.750732421875","10284.162109375","8634.592724609374","2999.137451171875","18073.69140625","9989.01865234375","5016.53173828125","15624.619140625","14146.39580078125","5544.708984375","29583.548828125","13749.946826171876","2581.222412109375","24853.615234375"
"8600","6505.98134765625","3703.73291015625","12312.357421875","9294.107861328124","3317.488525390625","19516.576171875","11334.58720703125","5442.6884765625","19402.927734375","15349.68017578125","5476.4365234375","32315.1875","15096.37568359375","3157.091064453125","27931.125"
"8800","25513.78857421875","3735.8173828125","107407.6484375","10079.012451171875","3706.148193359375","20893.9140625","12789.79189453125","5966.21826171875","23606.1796875","16591.6658203125","5466.3466796875","35154.15234375","17237.295751953126","3238.572021484375","33116.5703125"
"9000","21026.61943359375","3915.697265625","84517.53125","10911.58203125","4166.76220703125","21844.013671875","14267.61796875","6583.54296875","27841.001953125","17873.1189453125","5629.8466796875","37973.94921875","20693.0927734375","3127.34228515625","39803.14453125"
"9200","11477.6349609375","4867.1328125","34868.52734375","12795.3947265625","4815.69921875","27300.796875","15569.24189453125","7474.87841796875","30547.8671875","20585.72021484375","7622.62451171875","40566.4921875","17609.560009765624","3150.918701171875","47391.2734375"
"9400","41607.75078125","5740.41845703125","170962.4375","47468.1384765625","7378.509765625","192923.828125","38218.087109375","16564.166015625","87636.5390625","40670.9646484375","14663.1533203125","94920.2265625","20772.294384765624","1025.57861328125","65589.265625"
"9600","55763.1564453125","11546.61328125","121083.0859375","45690.503125","22675.57421875","70724.5","34667.3935546875","15287.4267578125","56921.55859375","14636.3291015625","5385.5322265625","44584.0078125","32459.488330078126","3613.741943359375","88912.6640625"
"9800","68347.2794921875","9717.0341796875","146897.40625","42670.25078125","23691.48046875","56598.4296875","10047.8083984375","6809.29931640625","14359.2421875","6592.64072265625","3287.42138671875","10130.4375","37896.396728515625","4021.560302734375","114526.5078125"
"10000","29216.0953125","9014.05859375","55998.42578125","16394.1625","11903.142578125","19265.84765625","6404.255859375","5289.97998046875","7549.77490234375","8117.39423828125","3355.73095703125","14647.201171875","43490.30615234375","4501.9150390625","142629.71875"